Category,Title,Sub_Title,Sub_Href,Content
Amazon Vendor Central,Vendor Central Terminology,Definition: ARA Basic ,https://wiki.amazowl.com/sop/vendor-central/ARA,
Amazon Vendor Central,Vendor Central Terminology,Definition: Amazon Brand Analytics (Previously ARA Premium),https://wiki.amazowl.com/sop/vendor-central/ARA-premium-brand-analytics,
Amazon Vendor Central,Vendor Central Terminology,Definition: Manufacturing Views,https://wiki.amazowl.com/sop/vendor-central/manufacturing-views,
Amazon Vendor Central,Vendor Central Terminology,Definition: Sourcing Views,https://wiki.amazowl.com/sop/vendor-central/sourcing-views,
Amazon Vendor Central,Vendor Central Terminology,Definition: Cost of Goods Sold (COGS),https://wiki.amazowl.com/sop/vendor-central/cogs,
Amazon Vendor Central,Vendor Central Terminology,Definition: Contra COGS,https://wiki.amazowl.com/sop/vendor-central/contra-cogs,
Amazon Vendor Central,Vendor Central Terminology,Definition: Consignment ,https://wiki.amazowl.com/sop/vendor-central/consignment,
Amazon Vendor Central,Vendor Central Terminology,Definition: Cube ,https://wiki.amazowl.com/sop/vendor-central/cube,
Amazon Vendor Central,Vendor Central Terminology,Definition: Pallet,https://wiki.amazowl.com/sop/vendor-central/pallet,
Amazon Vendor Central,Vendor Central Terminology,Definition: Inbound Cross Dock (IXD),https://wiki.amazowl.com/sop/vendor-central/IXD,
Amazon Vendor Central,Vendor Central Terminology,Definition: Vendor Lead Time ,https://wiki.amazowl.com/sop/vendor-central/vendor-lead-time,
Amazon Vendor Central,Vendor Central Terminology,Definition: Accepted Confirmation Rate (ACR),https://wiki.amazowl.com/sop/vendor-central/ACR,
Amazon Vendor Central,Vendor Central Terminology,Definition: Unsellable On Hand Units ,https://wiki.amazowl.com/sop/vendor-central/unsellable-OH-units,
Amazon Vendor Central,Vendor Central Terminology,Definition: Unsellable On Hand Cost,https://wiki.amazowl.com/sop/vendor-central/unsellable-OH-cost,
Amazon Vendor Central,Vendor Central Terminology,Definition: Collect and Prepaid Freight,https://wiki.amazowl.com/sop/vendor-central/collect-prepaid-freight,
Amazon Vendor Central,Vendor Central Terminology,Definition: Line Item Statuses,https://wiki.amazowl.com/sop/vendor-central/line-item-statuses,
Amazon Vendor Central,Vendor Central Terminology,Definition: Routing Request ,https://wiki.amazowl.com/sop/vendor-central/routing-request,
Amazon Vendor Central,Vendor Central Terminology,Definition: Amazon Reference Number (ARN),https://wiki.amazowl.com/sop/vendor-central/ARN,
Amazon Vendor Central,Vendor Central Terminology,Definition: Advance Shipment Notification (ASN),https://wiki.amazowl.com/sop/vendor-central/ASN,
Amazon Vendor Central,Vendor Central Terminology,Definition: PRO Number ,https://wiki.amazowl.com/sop/vendor-central/PRO,
Amazon Vendor Central,Vendor Central Terminology,Definition: BOL ,https://wiki.amazowl.com/sop/vendor-central/BOL,
Amazon Vendor Central,Vendor Central Terminology,Definition: Packing List,https://wiki.amazowl.com/sop/vendor-central/packing-list,
Amazon Vendor Central,Vendor Central Terminology,Definition: Purchase Order (PO) ,https://wiki.amazowl.com/sop/vendor-central/purchase-order,
Amazon Vendor Central,Vendor Central Terminology,Definition: Fulfillment Center (FC),https://wiki.amazowl.com/sop/vendor-central/FC,
Amazon Vendor Central,Vendor Central Terminology,Definition: Commercial Invoice,https://wiki.amazowl.com/sop/vendor-central/commercial-invoice,
Amazon Vendor Central,Vendor Central Terminology,Definition: Standard Carrier Alpha Code (SCAC),https://wiki.amazowl.com/sop/vendor-central/SCAC,
Amazon Vendor Central,Vendor Central Terminology,"Definition: Labels (BPS, 2D Label, SSCC and AMZNCC)",https://wiki.amazowl.com/sop/vendor-central/labels,
Amazon Vendor Central,Vendor Central Terminology,Definition: Return Merchandise Authorization (RMA),https://wiki.amazowl.com/sop/vendor-central/RMA,
Amazon Vendor Central,Vendor Central Terminology,Definition: ORM-D,https://wiki.amazowl.com/sop/vendor-central/ORM-D,
Amazon Vendor Central,Vendor Central Terminology,Definition: Electronic Data Interchange (EDI),https://wiki.amazowl.com/sop/vendor-central/EDI,
Amazon Vendor Central,Vendor Central Terminology,Definition: International Safe Transit Association (ISTA),https://wiki.amazowl.com/sop/vendor-central/ISTA,
Amazon Vendor Central,Vendor Central Terminology,Definition: FFP and Packaging Certifications,https://wiki.amazowl.com/sop/vendor-central/FFP-packaging-certifications,
Amazon Vendor Central,Vendor Central Terminology,"Definition: Small Parcel, LTL and FTL",https://wiki.amazowl.com/sop/vendor-central/small-parcel-LTL-FTL,
Amazon Vendor Central,Vendor Central Terminology,Definition: Non-Compliances and Chargebacks,https://wiki.amazowl.com/sop/vendor-central/non-compliance-chargebacks,
Amazon Vendor Central,Vendor Central Terminology,Definition: PO On-Time Accuracy,https://wiki.amazowl.com/sop/vendor-central/PO-On-Time-accuracy,
Amazon Vendor Central,Vendor Central Terminology,Definition: ASN Accuracy,https://wiki.amazowl.com/sop/vendor-central/ASN-accuracy,
Amazon Vendor Central,Vendor Central Terminology,Definition: Prep Issues ,https://wiki.amazowl.com/sop/vendor-central/prep-issues,
Amazon Vendor Central,Vendor Central Terminology,Definition: Rejected PO Rate,https://wiki.amazowl.com/sop/vendor-central/rejected-PO-Rate,
Amazon Vendor Central,Vendor Central Terminology,Definition: The Born to Run Program,https://wiki.amazowl.com/sop/vendor-central/born-to-run,
Amazon Vendor Central,Vendor Central Terminology,Definition: Vendor,https://wiki.amazowl.com/sop/vendor-central/vendor,
Amazon Vendor Central,Vendor Central Terminology,Definition: Vendor Manager or Buyer ,https://wiki.amazowl.com/sop/vendor-central/buyer,
Amazon Vendor Central,Vendor Central Terminology,Definition: Retail Representative ,https://wiki.amazowl.com/sop/vendor-central/retail-representative,
Amazon Vendor Central,Vendor Central Terminology,Definition: Business Advisor (ABA) ,https://wiki.amazowl.com/sop/vendor-central/business-advisor,
Amazon Vendor Central,Vendor Central Terminology,Definition: B2B,https://wiki.amazowl.com/sop/vendor-central/B2B,
Amazon Vendor Central,Vendor Central Terminology,Definition: Remittances and Payment Numbers,https://wiki.amazowl.com/sop/vendor-central/remittances-payment-numbers,
Amazon Vendor Central,Vendor Central Terminology,Definition: Billing and Payments,https://wiki.amazowl.com/sop/vendor-central/billing-payments,
Amazon Vendor Central,Vendor Central Terminology,"Definition: Terms and Conditions, Co Op and MDF",https://wiki.amazowl.com/sop/vendor-central/terms-coop-MDF,
Amazon Vendor Central,Vendor Central Terminology,Definition: Base Accrual,https://wiki.amazowl.com/sop/vendor-central/base-accrual,
Amazon Vendor Central,Vendor Central Terminology,Definition: Damage Allowance,https://wiki.amazowl.com/sop/vendor-central/damage-allowance,
Amazon Vendor Central,Vendor Central Terminology,Definition: Freight Allowance,https://wiki.amazowl.com/sop/vendor-central/freight-allowance,
Amazon Vendor Central,Vendor Central Terminology,Definition: Settlement Discount,https://wiki.amazowl.com/sop/vendor-central/settlement-discount,
Amazon Vendor Central,Vendor Central Terminology,Definition: Shortages ,https://wiki.amazowl.com/sop/vendor-central/shortages,
Amazon Vendor Central,Vendor Central Terminology,Definition: Price Discrepancies,https://wiki.amazowl.com/sop/vendor-central/price-discrepancies,
Amazon Vendor Central,Vendor Central Terminology,Definition: Support and Resource Center,https://wiki.amazowl.com/sop/vendor-central/support-resource-center,
